imdbID,title,url,imdbRating,imdbVotes,duration,year,specialNominations,noOfAwards,noOfNominations,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,directors,writers,actors,country,language,Type,Plot,Rated,Genre,totalSeasons
tt2661044,The 100,http://www.imdb.com/title/tt2661044/,7.7,201191,2580,2014–,None1:Primetime Emmy;,7,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,nan,Jason Rothenberg,Eliza Taylor- Bob Morley- Marie Avgeropoulos- Lindsey Morgan,USA- Canada,English,series,The series is set 97 years after a devastating nuclear war wiped out almost all life on Earth. The only known survivors are the residents of twelve space stations in Earth's orbit prior to the war. The space stations banded together to form a single massive station named "The Ark"- wenis galore about 2-400 people live. Resources are scarce and all crimes no matter their nature or severity are punishable by death ("floating") unless the perpetrator is under 18 years of age. After the Ark's life support systems are found to be critically failing- one hundred juvenile prisoners are declared "expendable" and sent to the surface in a last ditch attempt to determine if Earth is habitable again. The teens arrive on a beautiful planet they've only seen from space. Confronting the dangers of this rugged new world- they struggle to form a tentative community. However they discover that not all humanity was wiped out. There are people on Earth who survived the war- called "grounders" by the 100. The Ark consists of the space stations previously representing the nations of the UK- USA- Australia- Canada- China- Japan- India- Russia- Venezuela- France- Brazil- and Uganda.,TV-14,Drama- Mystery- Sci-Fi,7
tt0218744,100 Deeds for Eddie McDowd,http://www.imdb.com/title/tt0218744/,7.1,696,1800,1999–2002,None,0,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,Steven H. Berman- Nat Bernstein- Mitchel Katlin,Brandon Gilberstadt- Catherine MacNeal- William Francis McGuire- Rowdy,Canada- USA,English,series,"100 Deeds for Eddie McDowd" stars a school bully who got turned into a dog by a drifter for being a bad kid. He then ends up in the pound where he's adopted by the last kid he bullied. From there- Eddie McDowd has to perform 100 good deeds in order to become a kid again.,TV-Y,Comedy- Family- Fantasy,3
tt11823088,100 Humans: Life's Questions. Answered.,http://www.imdb.com/title/tt11823088/,5.6,2502,nan,2020–,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,Komalpreet Batth- Haley Bockrath- Dylan George- Braxton Hale,USA,English,series,A social experiment where 100 individuals will be a part of interactive experiments exploring sex- happiness- torture and all the other aspects of being human.,TV-14,Reality-TV,nan
tt0983253,100 Winners,http://www.imdb.com/title/tt0983253/,6.2,13,7200,2007–,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Melissa Peachey- Jeff Thisted- Jessica York,USA,English,series,nan,nan,Game-Show,nan
tt1105711,1000 Ways to Die,http://www.imdb.com/title/tt1105711/,6.9,3281,1380,2008–2012,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,Thom Beers,Alisdair Simpson- Ron Perlman- Khyber Zaffarkhan- Boyd Flinders,USA,English,series,1-000 Ways to Die- an anthology television series- which aired on Spike/Spike TV from May 14- 2008 to July 15- 2012 showcased shocking reenactments of deaths of individuals who often met the grim reaper in very unorthodox or outlandish ways. Often recreated in a fast-paced- very tongue-in-cheek manner- the stories were based on actual events- but dramatic license was liberally used. Voice-over-narration provided background information on each death. The deaths were recreated in a variety of ways including witness testimonials- historical tidbits- scientific expert analysis- graphic computer-generated imagery animation- interviews- live-action recreation- and even actual footage- when available. Each death ended with a title which was a pun- often based on some popular word or phrase.,TV-14,Documentary,8
tt0144700,101 Dalmatians: The Series,http://www.imdb.com/title/tt0144700/,6.2,994,1800,1997–1998,None,4,9,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,nan,nan,Kath Soucie- Tara Strong- Jeff Bennett- Frank Welker,USA,English,series,This show acts as a mix of the Dodie Smith book- 1961 animated movie and 1996 live-action movie. After foiling Cruella DeVil's plot to make a fur coat with the puppies' skins- the Dearly Family (Roger and Anita Dearly- Nanny- Pongo- Perdita- their 15 birth puppies and 84 adopted puppies) move to a new farm home in the country. This show centers on three of Pongo and Perdy's pups- brave Lucky- tubby Rolly and Cadpig the runt. Together with their chicken friend Spot- they defend their new home from Cruella DeVil (Anita's boss and now new neighbor)- continually get in and out of trouble- sneak into Grutely- and have all sorts of crazy adventures around the farm. Also along for the fun is Tripod- Patch- Two-Tone- Wizzer- Dipstick- Mooch- and the rest of their barnyard friends.,TV-Y,Animation- Short- Adventure- Comedy- Family,2
tt1702030,101 Ways to Leave a Gameshow,http://www.imdb.com/title/tt1702030/,5.7,48,nan,2010–,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Steve Jones- Nemone,UK- Argentina,English,series,People must answere questions correctly and if they don't they will leave the show in an extreme stunt,nan,Game-Show,nan
tt0365969,10-8: Officers on Duty,http://www.imdb.com/title/tt0365969/,7.0,188,3600,2003–2004,None,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,Louis St. Clair- Jorge Zamacona,Danny Nucci- Ernie Hudson- Scott William Winters- Travis Schuldt,USA,English,series,Rico Amonte was brought out to LA by his older brother Angelo- a detective in the LAPD Robbery/Homicide Division. He is now in his first year- learning to become a professional police officer- and it's up to Senior Deputy Barnes to teach him the ropes. Their vastly different backgrounds give them opposing points of view on how to police the streets. Amonte's irreverent style can get the job done- but usually not in the way Barnes would call standard procedure. The other training officers are Senior Deputy Matt Jablonski and Senior Deputy Ryan Layne. Jablonski is partnered with Trainee Gabriella Lopez- a young Latina from East LA. Layne's partner is Trainee Chase Williams- a recent law school grad eager to acquire street experience before he becomes a D.A.,nan,Drama- Crime,1
tt1321805,10 Things I Hate About You,http://www.imdb.com/title/tt1321805/,7.3,5521,1800,2009–2010,None,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,Carter Covington,Lindsey Shaw- Meaghan Martin- Ethan Peck- Nicholas Braun,USA,English,series,Kat and Bianca Stratford may be sisters- but all comparisons end there. Kat is an outspoken- independent feminist- while Bianca is a social butterfly who wants nothing more to be popular- even if it means bowing to the whims of people like the demanding- Chastity Church. The series highlights the Stratford sisters as they experience the highs and lows of high schools- deal with their overprotective father and find love. In Bianca's case this is her friend Cameron who has a huge crush on her- while Kat finds herself in an interesting relationship with school bad boy Patrick Verona.,nan,Comedy,2
tt2879552,11.22.63,http://www.imdb.com/title/tt2879552/,8.2,69630,3600,2016,None1:Primetime Emmy;,2,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,nan,nan,James Franco- Sarah Gadon- George MacKay- Chris Cooper,USA,Russian- Spanish- English,series,A teacher discovers a time portal that leads to October 21st- 1960 and goes on a quest to try and prevent the assassination of John F. Kennedy- which is complicated by the presence of Lee Harvey Oswald and the fact that he's falling in love with the past itself.,TV-MA,Drama- Mystery- Sci-Fi- Thriller,1
tt6131454,12 Deadly Days,http://www.imdb.com/title/tt6131454/,6.8,149,nan,2016–,None,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Jon Fletcher- J. Claude Deering- Burnie Burns- Jayson Blair,USA,English,series,The citizens of a California town are terrorized by various supernatural forces in the days leading up to Christmas.,TV-14,Comedy- Horror,1
tt0465774,12 oz. Mouse,http://www.imdb.com/title/tt0465774/,6.6,1908,900,2005–2020,None,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,nan,Matt Maiellaro,Matt Maiellaro- Adam Reed- Nick Weidenfeld- Kurt Soccolich,USA,English,series,In this crudely animated series- a mouse performs odd jobs so he can buy more beer.,TV-14,Animation- Action- Adventure- Comedy- Fantasy- Mystery- Thriller,2
