imdbID,title,url,imdbRating,rottenTomatoRating,metacriticRating,imdbVotes,duration,year,oscarNominations,noOfAwards,noOfNominations,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,directors,writers,actors,production,country,language,Type,Plot,BoxOffice,Rated,Genre
tt7430722,War,http://www.imdb.com/title/tt7430722/,6.5,nan,nan,18270,9240,2019,nan,18,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Siddharth Anand,Siddharth Anand (screenplay)- Siddharth Anand (story)- Aditya Chopra (story)- Shridhar Raghavan (screenplay)- Abbas Tyrewala (dialogue),Hrithik Roshan- Tiger Shroff- Vaani Kapoor- Ashutosh Rana,nan,India,Hindi,movie,An Indian soldier chases after his mentor who has gone rogue following an unexpected kill.,nan,Not Rated,Action- Thriller
tt6836936,Saaho,http://www.imdb.com/title/tt6836936/,5.2,8.0,nan,14895,10200,2019,nan,2,nan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Sujeeth,Sujeeth (screenplay)- Sujeeth (telugu dialogue)- K.G.R Ashok (tamil dialogue)- Abbas Dalal (hindi dialogue)- Hussain Dalal (hindi dialogue)- Anil Kumar Upadyaula (associate head writer),Prabhas- Shraddha Kapoor- Jackie Shroff- Neil Nitin Mukesh,Yash Raj Films,India,Telugu- Tamil- Hindi- Spanish- French- Punjabi,movie,An undercover cop becomes embroiled in a battle with warring criminals who want to acquire a "black box-" their ultimate key to a treasure.,nan,Not Rated,Action- Thriller
tt8983202,Kabir Singh,http://www.imdb.com/title/tt8983202/,7.1,23.0,nan,25199,10380,2019,nan,12,36,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Sandeep Reddy Vanga,Siddharth-Garima (dialogue)- Siddharth Singh (dialogue)- Sandeep Reddy Vanga- Garima Wahal (dialogue),Shahid Kapoor- Kiara Advani- Nikita Dutta- Soham Majumdar,nan,India,Hindi,movie,Kabir Singh is a remake of a Telugu movie Arjun Reddy (2017)- where a short-tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.,nan,nan,Crime- Drama- Romance
tt8983202,Kabir Singh,http://www.imdb.com/title/tt8983202/,7.1,23.0,nan,25199,10380,2019,nan,12,36,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Sandeep Reddy Vanga,Siddharth-Garima (dialogue)- Siddharth Singh (dialogue)- Sandeep Reddy Vanga- Garima Wahal (dialogue),Shahid Kapoor- Kiara Advani- Nikita Dutta- Soham Majumdar,nan,India,Hindi,movie,Kabir Singh is a remake of a Telugu movie Arjun Reddy (2017)- where a short-tempered house surgeon gets used to drugs and drinks when his girlfriend is forced to marry another person.,nan,nan,Crime- Drama- Romance
tt8291224,Uri: The Surgical Strike,http://www.imdb.com/title/tt8291224/,8.3,67.0,nan,40788,8280,2019,nan,17,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Aditya Dhar,Aditya Dhar,Vicky Kaushal- Paresh Rawal- Mohit Raina- Yami Gautam,PackYourBag Films,India,Hindi,movie,Indian army special forces execute a covert operation- avenging the killing of fellow army men at their base by a terrorist group.,nan,Not Rated,Action- Drama- War
tt8291224,Uri: The Surgical Strike,http://www.imdb.com/title/tt8291224/,8.3,67.0,nan,40788,8280,2019,nan,17,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Aditya Dhar,Aditya Dhar,Vicky Kaushal- Paresh Rawal- Mohit Raina- Yami Gautam,PackYourBag Films,India,Hindi,movie,Indian army special forces execute a covert operation- avenging the killing of fellow army men at their base by a terrorist group.,nan,Not Rated,Action- Drama- War
tt7721800,Bharat,http://www.imdb.com/title/tt7721800/,5.3,32.0,nan,18314,9000,2019,nan,3,10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ali Abbas Zafar,Su-jin Park (original screenplay)- Varun V. Sharma- Ali Abbas Zafar,Salman Khan- Katrina Kaif- Sunil Grover- Tabu,Viva Entertainment,India,Hindi,movie,At the cusp of India's birth as an Independent nation- a family makes an arduous journey to freedom at a cost. A young boy Bharat- makes a promise to his Father that he will keep his family together no matter what.,nan,Not Rated,Action- Comedy- Drama
tt7721800,Bharat,http://www.imdb.com/title/tt7721800/,5.3,32.0,nan,18314,9000,2019,nan,3,10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ali Abbas Zafar,Su-jin Park (original screenplay)- Varun V. Sharma- Ali Abbas Zafar,Salman Khan- Katrina Kaif- Sunil Grover- Tabu,Viva Entertainment,India,Hindi,movie,At the cusp of India's birth as an Independent nation- a family makes an arduous journey to freedom at a cost. A young boy Bharat- makes a promise to his Father that he will keep his family together no matter what.,nan,Not Rated,Action- Comedy- Drama
tt8504014,Good Newwz,http://www.imdb.com/title/tt8504014/,7.0,nan,nan,13077,8040,2019,nan,4,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Raj Mehta,Jyoti Kapoor (story)- Jyoti Kapoor (screenplay)- Jyoti Kapoor (dialogue)- Rishabh Sharma (dialogue)- Raj Mehta (dialogue)- Rishabh Sharma (additional screenplay),Akshay Kumar- Kareena Kapoor- Diljit Dosanjh- Kiara Advani,nan,India,Hindi- English,movie,Two couples with the same surnames pursue in-vitro fertilization and wait for their upcoming babies. Trouble ensues when they find that the sperms of each couple have been mixed with each other.,nan,Not Rated,Comedy
tt8504014,Good Newwz,http://www.imdb.com/title/tt8504014/,7.0,nan,nan,13077,8040,2019,nan,4,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Raj Mehta,Jyoti Kapoor (story)- Jyoti Kapoor (screenplay)- Jyoti Kapoor (dialogue)- Rishabh Sharma (dialogue)- Raj Mehta (dialogue)- Rishabh Sharma (additional screenplay),Akshay Kumar- Kareena Kapoor- Diljit Dosanjh- Kiara Advani,nan,India,Hindi- English,movie,Two couples with the same surnames pursue in-vitro fertilization and wait for their upcoming babies. Trouble ensues when they find that the sperms of each couple have been mixed with each other.,nan,Not Rated,Comedy
