imdbID,title,url,imdbRating,rottenTomatoRating,metacriticRating,imdbVotes,duration,year,oscarNominations,noOfAwards,noOfNominations,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,directors,writers,actors,production,country,language,Type,Plot,BoxOffice,Rated,Genre
tt2459972,Buy Herself,http://www.imdb.com/title/tt2459972/,6.6,nan,nan,14,1800,2012–,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,Sandra Rinomato,nan,Canada,English,series,Buy Herself focuses on single women who are seeking to buy their first house on their own.,nan,nan,Reality-TV
tt9059820,The Nest,http://www.imdb.com/title/tt9059820/,7.2,nan,nan,1891,3600,2020–,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,nan,nan,Fiona Bell- Christine Bottomley- Martin Compston- Liz Ewing,nan,UK,nan,series,A teenage girl in Glasgow agrees to carry a baby for couple Dan and Emily.,nan,R,Thriller
tt1224296,PWU Power Surge TV,http://www.imdb.com/title/tt1224296/,nan,nan,nan,nan,nan,2007–2008,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,nan,nan,Jake Affleck- Sara Amato- Nancy Becker- Stephanie Becker,nan,USA,English,series,Pro Wrestling Unplugged has you "Experience The New Edge" every week from the hub of pro wrestling on the east coast- Philadelphia- Pennsylvania.,nan,nan,Sport
tt0361179,Father of the Pride,http://www.imdb.com/title/tt0361179/,6.9,nan,nan,1170,1560,2004–2005,nan,nan,nan,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,Jonathan Groff- Jeffrey Katzenberg,John Goodman- Cheryl Hines- Orlando Jones- Carl Reiner,nan,USA,English,series,The misadventures of a family of White Lions who perform with Siegfried and Roy in Las Vegas.,nan,TV-14,Animation- Comedy
tt1003347,Bob Builds His Dream House,http://www.imdb.com/title/tt1003347/,nan,nan,nan,nan,nan,2006–,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,Bob Balaban- Count Alexandre DeLesseps,nan,USA,English,series,nan,nan,nan,Reality-TV
tt11141900,Ted Bundy: Falling for a Killer,http://www.imdb.com/title/tt11141900/,7.9,nan,nan,1289,13860,2020,nan,nan,nan,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Elizabeth Kendall- Molly Kendall- Steve Winn- Rich Bundy,nan,USA- Canada,English,series,After nearly 40 years of silence- Elizabeth Kendall and her daughter Molly share their experiences with unsettling new details about Ted Bundy.,nan,TV-MA,Documentary- Crime
tt11285470,Emma,http://www.imdb.com/title/tt11285470/,nan,nan,nan,nan,nan,2020–,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,AnnaSophia Robb- Mira Sorvino- Rory Culkin- Kevin Daigneault,nan,nan,nan,series,The dark journey of a young woman down on her luck and pregnant under mysterious circumstances.,nan,nan,Horror
tt11285470,Emma,http://www.imdb.com/title/tt11285470/,nan,nan,nan,nan,nan,2020–,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,AnnaSophia Robb- Mira Sorvino- Rory Culkin- Kevin Daigneault,nan,nan,nan,series,The dark journey of a young woman down on her luck and pregnant under mysterious circumstances.,nan,nan,Horror
tt6905542,The Dark Crystal: Age of Resistance,http://www.imdb.com/title/tt6905542/,8.5,nan,nan,19949,3600,2019–,nan,nan,7,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,nan,Jeffrey Addiss- Will Matthews,Neil Sterenberg- Beccy Henderson- Nathalie Emmanuel- Taron Egerton,nan,UK- USA,English,series,Returns to the world of Thra- where three Gelfling discover the horrifying secret behind the Skeksis' power- and set out to ignite the fires of rebellion and save their world.,nan,TV-PG,Adventure- Drama- Family- Fantasy- Sci-Fi
tt1698441,The Trip,http://www.imdb.com/title/tt1698441/,8.0,nan,82.0,6574,10320,2010–,nan,nan,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Steve Coogan- Rob Brydon- Claire Keelan- Rebecca Johnson,nan,UK,English,series,When Steve is asked by The Observer to tour Northern England's finest restaurants- he envisions it as the perfect getaway with his beautiful girlfriend. But- when she backs out on him- he has no one to accompany him but his best friend and source of eternal aggravation- Rob. Series two finds the men touring Italy.,nan,TV-14,Comedy
tt0400037,Summerland,http://www.imdb.com/title/tt0400037/,6.9,nan,nan,3580,3600,2004–2005,nan,2,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,Stephen Tolkin- Lori Loughlin,Lori Loughlin- Merrin Dungey- Ryan Kwanten- Jesse McCartney,nan,USA,English,series,Bradin- Nikki and Derrick are 3 kids from an average normal Kansas household. Their whole life is thrown upside-down when their parents are tragically killed in a car accident. Ava Gregory (their aunt) gets custody of her niece and nephews and they move into her Californian home (in Summerland). Ava- a struggling clothes designer- lives with her best friend and business partner- Susannah Rexford- her friend- an ex- pro.surfer- Jay Robertson and her ex-boyfriend- real estate agent- Johnny Durrant. All four of them are highly unequipped to handle children and are not use to including them in their everyday lives. The series follows each of their struggles through life. Ava is trying to get her fashion line to take off. Whilst also fighting feelings for Johnny- her childhood sweetheart. And now trying to bring up her sisters 3 children up as well as possible. Johnny is forever trying to fight his feelings for Ava- knowing he ruined that relationship long ago. Johnny is the father figure to the children. Jay owns a surf shop- and is trying to win back ex-girlfriend and teenage love- Erica Spaulding. He acts as the cool big brother type to the 3 children and he and Bradin develop a close relationship. Bradin is growing up and finding himself led astray very easily in the teenage world. He drinks- takes drugs and gets arrested- after getting involved with a 'bad-apple' Sara- who he then helps into getting her life back on track. Later he falls in love with Callie- only to get hurt again. He discovers a passion for surfing and becomes very good- whilst falling for his coach- Erica Spaulding. Nikki is at an awkward age of 13 and trying to fit in to the Californian teenage world. She is very bright and enjoys reading books and writing poetry- not the popular shopping and clothes. Early on Nikki meets a boy- Cameron Bale- and they develop a strong relationship- and ultimately- fall in love. Derrick takes to Johnny immediately and the two develop a good friendship. He-in turn- finds his "one soul mate" in a little girl called Martha. The show is basically a fun show of sun- sea and sand mixed with great storyline- emotional inputs and will leave you wanting more. Great cast- excellent chemistry- and beautiful scenery.,nan,nan,Drama
tt0073675,The Secret Garden,http://www.imdb.com/title/tt0073675/,7.2,nan,nan,231,12600,1975–,nan,nan,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Sarah Hollis Andrews- Hope Johnstone- William Marsh- Jacqueline Hoyle,nan,UK,English,series,In 19th-century India- little Mary Lennox is suddenly orphaned by cholera. Her only living relative is her crook-backed uncle- Archibald Craven- so Mary is sent to live at his estate on the...,nan,G,Drama- Family
