imdbID,title,url,imdbRating,rottenTomatoRating,metacriticRating,imdbVotes,duration,year,oscarNominations,noOfAwards,noOfNominations,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,directors,writers,actors,production,country,language,Type,Plot,BoxOffice,Rated,Genre
tt0096684,Quantum Leap,http://www.imdb.com/title/tt0096684/,8.1,nan,nan,25389,3600,1989–1993,nan,16,43,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,nan,Donald P. Bellisario,Scott Bakula- Dean Stockwell- Deborah Pratt,nan,USA,English,series,Doctor Sam Beckett led a group of top scientists into the desert to research his theory that a man could time travel within his own lifetime. Unfortunately- in order to save his funding- he was forced to enter the accelerator prematurely and vanished. He then found himself in someone else's body with partial amnesia. His only contact from home is Al- a holographic image only he can see and hear. Setting right things which once went wrong- Sam leaps from life to life- hoping each time that this is the final leap home.,nan,TV-PG,Action- Adventure- Drama- Mystery- Sci-Fi
tt9469576,Amanda to the Rescue,http://www.imdb.com/title/tt9469576/,8.4,nan,nan,107,nan,2018–,nan,nan,nan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,Amanda Giese,nan,USA,English,series,Amanda Giese treats seemingly hopeless animals in need of a second chance- primarily focusing on dogs that others have given up on.,nan,nan,Documentary- Reality-TV
tt2549176,Cardfight!! Vanguard,http://www.imdb.com/title/tt2549176/,7.3,nan,nan,89,1500,2011–,nan,nan,nan,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,nan,nan,Melissa Dorsey- Tim Hamaguchi- James Beach- Ryan Luhning,nan,Japan,Japanese- English,series,There are now billions of card game players in the world- to an extent where card games have become a necessity- a part of our lives. The protagonist of this story- Aichi Sendo- is a timid boy in his third year of middle school. He had been living his life looking backward rather than forward- trying not to stand out. However- he had one thing that kept him going - the Blaster Blade- a card from a card game that was given to him when he was little. That card is the reason why he begins to engage in Cardfights- something that changes his life drastically. The name of the card game is Vanguard. The game takes place in a different planet called Cray. It is a place similar to our own planet- but unlike planet Earth- Gods and Demons- Dragons and other mythical creatures still roam the land. It is also a world where both Magic and Science have advanced hand in hand. Countries with advances in different fields and cultures rule over different parts of the planet Cray. And due to a never before seen play system- it becomes popular throughout the world. Aichi- immediately attracted by Vanguard- meets friends such as Misaki Togura and Kamui Katsuragi- along with other rivals. Through friendly rivalry with them- Aichi begins to enjoy a fulfilling life. Aichi- however- has a goal: to once again battle with a Vanguard Fighter by the name of Toshiki Kai. Toshiki Kai is an aloof and cold-hearted high schooler who has outstanding abilities in the world of Vanguard. He is also the reason why Aichi started playing the game. For him- Kai is the person who saved him from his boring life and introduced him to Vanguard. In order to get better at Vanguard- Aichi puts his soul into it every day. He wishes that someday- he'll be able to battle Kai and have him recognize his worth.,nan,nan,Animation- Action- Fantasy- Game-Show- Sci-Fi
tt0450910,Ding Dong Feng Shui,http://www.imdb.com/title/tt0450910/,nan,nan,nan,nan,nan,2005–,nan,nan,nan,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Wendy Tsang- James Wong,nan,USA,English,series,nan,nan,nan,Family
tt2401365,Hello My Teacher,http://www.imdb.com/title/tt2401365/,7.9,nan,nan,47,nan,2005–,nan,nan,nan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Yoo Gong- Hyo-jin Kong,nan,South Korea,Korean,series,nan,nan,nan,Drama- Romance
tt0145627,Out of Control,http://www.imdb.com/title/tt0145627/,8.1,nan,nan,96,1800,1984–1985,nan,nan,nan,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Diz McNally- Marty Schiff- David Stenstrom- Dave Coulier,nan,USA,English,series,nan,nan,TV-G,Comedy- Family
tt11783604,The Wonder Woman,http://www.imdb.com/title/tt11783604/,nan,nan,nan,nan,nan,2020,nan,nan,nan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Aviis Zhong- Wes Lo- Yun-ching Li- Chin-Lan Chang,nan,Taiwan,Mandarin,series,nan,nan,nan,Drama
tt0186804,Aftershock: Earthquake in New York,http://www.imdb.com/title/tt0186804/,5.4,35.0,nan,1661,10200,1999–,nan,nan,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,nan,nan,Tom Skerritt- Sharon Lawrence- Charles S. Dutton- Lisa Nicole Carson,nan,USA- Germany,English,series,New York- the city that never sleeps- is trapped in a nightmare of horror and destruction when a massive earthquake rocks the unsuspecting city. Countless lives are lost- families are torn apart- and chaos runs rampant as the mayor and former Fire Chief race to enact a city-wide emergency plan. An incredible story of undying courage in the face of unimaginable human tragedy.,nan,Unrated,Action- Drama- Thriller
tt4011658,Human Sacrifice,http://www.imdb.com/title/tt4011658/,nan,nan,nan,nan,2640,2010–,nan,nan,nan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,USA,English,series,nan,nan,nan,Documentary
tt1654769,I'm the King of Adventure,http://www.imdb.com/title/tt1654769/,nan,nan,nan,nan,3600,2002–,nan,nan,nan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Ming Dow- Yongxun Zhou,nan,Taiwan,Mandarin- Min Nan- English,series,nan,nan,nan,Adventure
tt0186804,Aftershock: Earthquake in New York,http://www.imdb.com/title/tt0186804/,5.4,35.0,nan,1661,10200,1999–,nan,nan,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,nan,nan,Tom Skerritt- Sharon Lawrence- Charles S. Dutton- Lisa Nicole Carson,nan,USA- Germany,English,series,New York- the city that never sleeps- is trapped in a nightmare of horror and destruction when a massive earthquake rocks the unsuspecting city. Countless lives are lost- families are torn apart- and chaos runs rampant as the mayor and former Fire Chief race to enact a city-wide emergency plan. An incredible story of undying courage in the face of unimaginable human tragedy.,nan,Unrated,Action- Drama- Thriller
tt0269106,The Life of Confucius,http://www.imdb.com/title/tt0269106/,nan,nan,nan,nan,780,1998–,nan,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,David Bannerman- Louise Breckon-Richards- Emma Fielding- Philip Franks,nan,Hungary,English,series,nan,nan,nan,Animation
tt1942009,Don Quixote,http://www.imdb.com/title/tt1942009/,7.5,nan,nan,32,nan,2011–,nan,nan,nan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Shôta Matsuda- Katsumi Takahashi- Ken Aoki- Miwako Ichikawa,nan,Japan,Japanese,series,nan,nan,nan,Drama
tt0059980,The Double Life of Henry Phyfe,http://www.imdb.com/title/tt0059980/,8.1,nan,nan,19,1800,1966–,nan,nan,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Red Buttons,nan,USA,English,series,Mild-mannered accountant Harry Phyfe is recruited by a US counterintelligence agency to impersonate a dead foreign agent who was his opposite in all respects except appearance.,nan,nan,Comedy
tt2323172,Evil Up Close the Kidnap Killer,http://www.imdb.com/title/tt2323172/,nan,nan,nan,nan,2520,2012–2013,nan,nan,nan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Robin Drake- Rachael Harding,nan,UK,English,series,In this episode of the Crime and Investigation's Evil Up Close series we look at Michael Sams- The Kidnap Killer who abducted and killed and then abducted- raped and tortured Stephanie Slater before releasing her after a ransom had been paid.,nan,nan,Crime
tt0934701,Ni Hao- Kai-Lan,http://www.imdb.com/title/tt0934701/,4.1,nan,nan,706,1800,2007–2011,nan,nan,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,Karen Chau- Mary Harrington- Judy Rothman Rofé,Jade-Lianna Peters- Clem Cheung- Khamani Griffin- Angie Wu,nan,USA,English,series,A six-year-old girl named Kai-lan- who invites friends at her home to share in the colorful interplay of Chinese and American cultures- as well as the Mandarin language- through interactive exercises and magical stories.,nan,nan,Animation- Family- Fantasy
tt4011658,Human Sacrifice,http://www.imdb.com/title/tt4011658/,nan,nan,nan,nan,2640,2010–,nan,nan,nan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,USA,English,series,nan,nan,nan,Documentary
tt3981658,New Crouching Tiger- Hidden Dragon,http://www.imdb.com/title/tt3981658/,3.0,nan,nan,8,13680,2001–,nan,nan,nan,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kai-Cheng Liang- Rui-Yang Lin,Du Lu Wang,Hsin-chih Chiu- Yi Huang- Qinqin Jiang- Peter Ho,nan,Taiwan,Mandarin,series,Yuk Jiao Lung takes up kung fu with the former rebel master Jade Fox as a way to escape an undesirable arranged marriage- while simultaneously- sword master Li Mu Bai falls in love with Yu Shu Lien when she arrives to avenge the murder of her parents. When the Green Destiny Sword turns up stolen- and the notorious female thief Jade Fox arrives to finish the ordeal- the four become enmeshed in a tangle of adventure- vengeance- and betrayal.,nan,nan,Action- Drama
tt5613592,Fatal Decision,http://www.imdb.com/title/tt5613592/,nan,nan,nan,nan,nan,2016–,nan,nan,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Zach Reino- Pam Murphy- Eileen Fogarty,nan,USA,English,series,nan,nan,nan,Comedy
tt0111958,Father Ted,http://www.imdb.com/title/tt0111958/,8.6,nan,nan,35732,1500,1995–1998,nan,15,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Dermot Morgan- Ardal O'Hanlon- Frank Kelly- Pauline McLynn,nan,UK,English,series,Have mercy on poor Father Ted Crilly. He has so much to contend with when it comes to dealing with the folks of Craggy Island- Ireland. There's Father Dougal McGuire- who is as dimwitted as they come; and then there is Father Jack Hackett who lives for the simple pleasures of life (sleeping- drinking- and swearing). Ted tries to bring stability to his congregation as well as the surreal townspeople of Craggy Island.,nan,TV-14,Comedy
tt5283704,Happy Times: A Happy Jack Horror Time,http://www.imdb.com/title/tt5283704/,nan,nan,nan,nan,nan,2015–,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Owen Gibney,nan,USA,English,series,nan,nan,nan,Horror
tt2373903,Platform 2C,http://www.imdb.com/title/tt2373903/,7.1,nan,nan,7,nan,2011–,nan,nan,nan,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Anna Batho- Billy Conway- David Turner- Adam Carter,nan,UK,English,series,The Platform 2c story takes place connected to and around people who use and live near Platform 2c in the Yorkshire village of Milford. Platform 2c is unique in that all episodes are produced in 2D and digital 3D versions. Our first episode went live Sunday August 28th 2011 and we have been producing one ever since,nan,nan,Comedy- Drama
tt4793330,Jiao Yulu,http://www.imdb.com/title/tt4793330/,nan,nan,nan,nan,nan,2012–,nan,nan,nan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Luoyong Wang- Bingyan Yan- Qiang Gao- Yu Cheng,nan,China,nan,series,nan,nan,nan,Drama
tt11804034,Hi Bye- Mama!,http://www.imdb.com/title/tt11804034/,8.0,nan,nan,799,4200,2020–,nan,nan,nan,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Tae-hee Kim- Kyoo-hyung Lee- Ko Bo-Gyeol- Seo Woo-Jin,nan,South Korea,Korean,series,It's the story of a mother who died and begins a 49-day long project of reincarnation and a husband who has barely begun to live a new life after overcoming the pain of losing his wife.,nan,nan,Comedy- Drama- Fantasy
tt0227966,Us and Them,http://www.imdb.com/title/tt0227966/,6.1,nan,nan,15,nan,1995–,nan,nan,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,Pino Amenta- Philip Dalkin- Alan Hardy- John Powditch,Rhys Muldoon- Doris Younane- Brian Meegan- Kylle Hogart,nan,Australia,English,series,nan,nan,nan,Comedy
tt3455408,The Curse of Oak Island,http://www.imdb.com/title/tt3455408/,7.1,nan,nan,3933,3600,2014–,nan,nan,nan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,Kevin Burns,Robert Clotworthy- Marty Lagina- Rick Lagina- Charles Barkhouse,nan,USA,English,series,Rick and Marty Lagina- two brothers from Michigan with a life-long interest in the mystery of Oak Island- renew efforts to discover the legendary treasure with sophisticated machinery.,nan,TV-PG,Documentary- Reality-TV
tt4622784,The Magnificent Life of Meg,http://www.imdb.com/title/tt4622784/,nan,nan,nan,nan,nan,2015–,nan,nan,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Molly Jackson- Ashlyn Faith Williams,nan,USA,English,series,nan,nan,nan,Comedy
tt4050958,Han Wu Da Di,http://www.imdb.com/title/tt4050958/,8.4,nan,nan,57,nan,2005–,nan,8,5,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Baoguo Chen- Ah-Lei Gua- Huang Jiao- Chun Du,nan,China,Mandarin,series,Based on the story of the reign of Emperor Wu of the Han empire- showing his victories and failures- his path through life and the harshness of reality.,nan,nan,Biography- Drama- History
