imdbID,title,url,imdbRating,rottenTomatoRating,metacriticRating,imdbVotes,duration,year,oscarNominations,noOfAwards,noOfNominations,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,directors,writers,actors,production,country,language,Type,Plot,BoxOffice,Rated,Genre
tt3750492,Korean Peninsula,http://www.imdb.com/title/tt3750492/,6.6,nan,nan,26,3600,2012–,nan,nan,nan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Jung-min Hwang,nan,South Korea,Korean,series,Seo Myung-joon is a South Korean scientist who falls in love with North Korean scientist Im Jin-jae while developing an alternative energy source together. But when Myung-joon unexpectedly ...,nan,nan,Drama
tt6883044,Bose: Dead/Alive,http://www.imdb.com/title/tt6883044/,9.0,nan,nan,5064,1200,2017,nan,nan,nan,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,nan,Ekalavya Bhattacharya- Jyoti Kapur Das- Ekta Kapoor,Rajkummar Rao- Naveen Kasturia- Edward Sonnenblick- Anna Ador,nan,India,Hindi- English,series,The man. The legend. The mystery. He fascinated us in life- and long after his "death". This is the story of India's biggest cover-up: Netaji Subhash Chandra Bose and the mystery of his alleged death.,nan,nan,Biography- History- Mystery- Thriller
tt1900660,The CLOSET,http://www.imdb.com/title/tt1900660/,nan,nan,nan,nan,nan,2005–,nan,nan,nan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Kevin F. Allen- Evan Allison- Isaias Castañeda- Deborah Michelle Emeran,nan,USA,English,series,nan,nan,nan,Drama
tt8343762,The Secret Life of the Zoo,http://www.imdb.com/title/tt8343762/,8.5,nan,nan,150,nan,2016–,nan,nan,nan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Olivia Colman- Tamsin Greig,nan,UK,English,series,Observational documentary series using specialist cameras to capture in incredible detail the behaviour of the animals at the most popular zoo in the UK - Chester Zoo.,nan,nan,Documentary
tt8343762,The Secret Life of the Zoo,http://www.imdb.com/title/tt8343762/,8.5,nan,nan,150,nan,2016–,nan,nan,nan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Olivia Colman- Tamsin Greig,nan,UK,English,series,Observational documentary series using specialist cameras to capture in incredible detail the behaviour of the animals at the most popular zoo in the UK - Chester Zoo.,nan,nan,Documentary
tt1900660,The CLOSET,http://www.imdb.com/title/tt1900660/,nan,nan,nan,nan,nan,2005–,nan,nan,nan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Kevin F. Allen- Evan Allison- Isaias Castañeda- Deborah Michelle Emeran,nan,USA,English,series,nan,nan,nan,Drama
tt0339964,The Intruder,http://www.imdb.com/title/tt0339964/,8.3,nan,nan,9,1500,1972–,nan,nan,nan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,nan,nan,James Bate- Milton Johns- Simon Fisher-Turner- Sheila Ruskin,nan,UK,English,series,nan,nan,nan,Drama- Mystery
tt11958922,The Innocence Files,http://www.imdb.com/title/tt11958922/,8.0,nan,nan,1146,34380,2020,nan,nan,nan,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Peter Neufeld- Barry Scheck- Michael West- Gary Wells,nan,USA,English,series,The hour-long episodes detail the personal stories behind eight cases of wrongful conviction that the Innocence Project and organizations within the Innocence Network have worked to highlight and overturn.,nan,TV-MA,Documentary- Crime- Drama
tt6883044,Bose: Dead/Alive,http://www.imdb.com/title/tt6883044/,9.0,nan,nan,5064,1200,2017,nan,nan,nan,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,nan,Ekalavya Bhattacharya- Jyoti Kapur Das- Ekta Kapoor,Rajkummar Rao- Naveen Kasturia- Edward Sonnenblick- Anna Ador,nan,India,Hindi- English,series,The man. The legend. The mystery. He fascinated us in life- and long after his "death". This is the story of India's biggest cover-up: Netaji Subhash Chandra Bose and the mystery of his alleged death.,nan,nan,Biography- History- Mystery- Thriller
tt3750492,Korean Peninsula,http://www.imdb.com/title/tt3750492/,6.6,nan,nan,26,3600,2012–,nan,nan,nan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Jung-min Hwang,nan,South Korea,Korean,series,Seo Myung-joon is a South Korean scientist who falls in love with North Korean scientist Im Jin-jae while developing an alternative energy source together. But when Myung-joon unexpectedly ...,nan,nan,Drama
tt2602200,Yume mugendai Fukuoka,http://www.imdb.com/title/tt2602200/,nan,nan,nan,nan,900,2007–,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,nan,nan,Yukari Matsuyoshi- Toshihiko Matsuo,nan,Japan,Japanese,series,nan,nan,nan,Talk-Show
tt12718002,Celebrity Call Center,http://www.imdb.com/title/tt12718002/,4.1,nan,nan,9,1320,2020–,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,Reza Farahan,nan,USA,English,series,Everyday people are given the opportunity to seek the advice of a celebrity by speaking to them directly over the phone; working together in a virtual call center headquarters- the celebrities unleash their wisdom on relatable topics.,nan,TV-14,Reality-TV
tt1118358,Tara Moss Investigates,http://www.imdb.com/title/tt1118358/,nan,nan,nan,nan,nan,2006–,nan,nan,nan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Tara Moss,nan,UK,English,series,nan,nan,nan,Documentary
tt10329046,Perfect Harmony,http://www.imdb.com/title/tt10329046/,6.6,nan,nan,1626,1320,2019–2020,nan,nan,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,nan,Lesley Wake,Bradley Whitford- Anna Camp- Rizwan Manji- Tymberlee Hill,nan,USA,English,series,An Ivy League professor becomes the director of a rural church choir.,nan,TV-PG,Comedy- Music
tt6235122,Servant of the People,http://www.imdb.com/title/tt6235122/,7.0,nan,nan,570,nan,2015–,nan,nan,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Boris Abramov- Anastasia Chepeliuk,nan,Ukraine,Russian,series,A political comedy about ordinary school teacher becoming the President of Ukraine. He tries to live an ordinary life without all 'President's privileges' and works really hard to build a ...,nan,nan,Comedy
tt1166758,The Unjust,http://www.imdb.com/title/tt1166758/,6.8,nan,nan,32,nan,2008–,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Chris Cox- Jimmy Flowers- Jermaine Holloway- Gus Holwerda,nan,USA,English,series,They were once a close group of Special Force Operatives who worked together behind enemy lines in the Gulf War- Somalia- Bosnia- and flash points across the globe. They were sent as a remedy to war lords- thugs and others who threaten to break a fragile peace and stability. Their missions were justifiable- remove one to save thousands! Their military careers now over- the Operators find themselves with skills that no longer have an value. Their new civilian world is full of hypocrites- liars- and cowards. They are foreigners in a place where justice is purchased and the guilt go free. The Unjust are troubled men with many hidden flaws. While bringing down the unwanted they might just be losing their own personal battles.,nan,nan,Action
tt2828696,Dating Agency: Cyrano,http://www.imdb.com/title/tt2828696/,7.1,nan,nan,125,nan,2013–,nan,nan,nan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Seong-woo Bae- Jong-hyeon Hong- Yoon-woo Jo- Min-kyo Kim,nan,South Korea,Korean,series,A young lady Moo Jin(Jong hyeon Hong) joins an agency that makes secret admirer's dreams come true.They never fail to lure their clients's crushes into their arms.Min Shik(Seong Woo Bae) ...,nan,nan,Drama- Romance
tt12373746,No Mercy No Malice with Professor Scott Galloway,http://www.imdb.com/title/tt12373746/,5.4,nan,nan,5,1800,2020–,nan,nan,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,nan,nan,Scott Galloway,nan,USA,English,series,Business professor and bestselling author Scott Galloway analyzes in his own humorously eccentric way the recent trends and business moves in the world of digital economy and how it effects both the users and the world in general.,nan,nan,Comedy- News- Talk-Show
tt10329046,Perfect Harmony,http://www.imdb.com/title/tt10329046/,6.6,nan,nan,1626,1320,2019–2020,nan,nan,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,nan,Lesley Wake,Bradley Whitford- Anna Camp- Rizwan Manji- Tymberlee Hill,nan,USA,English,series,An Ivy League professor becomes the director of a rural church choir.,nan,TV-PG,Comedy- Music
tt0131176,Lonesome Dove: The Outlaw Years,http://www.imdb.com/title/tt0131176/,7.4,nan,nan,404,2520,1995–1996,nan,2,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,nan,nan,Scott Bairstow- Eric McCormack- Kelly Rowan- Paul Johansson,nan,Canada,English,series,"Lonesome Dove: The Outlaw Years" begins two years after the end of "Lonesome Dove". After two years spent bounty hunting- womanizing- and drinking away the painful memories of his late wife- Hannah- Newt Call returns to town to find many things have changed. His brother-in-law- Austin- is now an alcoholic sheriff- who has never fully recovered from his beloved sister's death- and blames Call for it. His father-in-law- Josiah- is the town mayor- but hasn't been right in the head since Hannah died. The town is run under the iron fist of Clayton Mosby- who also cannot forget Hannah- who looked amazingly like his late wife- Mary. "The Lonesome Dove"- the hotel opened in the mini-series by Ida Grayson- now belongs to Amanda Carpenter- a woman with a mysterious past and a determination on par with Clay Mosby's. Curtis Wells also gets a new gunsmith- a mysterious and feisty woman named Mattie Shaw.,nan,nan,Western
tt9466024,The Housemaid,http://www.imdb.com/title/tt9466024/,nan,nan,nan,nan,nan,2017,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Nikita Balev,nan,Ukraine,nan,series,Tatiana Larionova is a happy wife- a loving mother and the owner of a successful family-run hotel. All is well in her life until Roman Deryabin- the owner of a large hotel chain- comes to ...,nan,nan,Romance
tt3624302,Poetry Speaks,http://www.imdb.com/title/tt3624302/,nan,nan,nan,nan,nan,2010,nan,nan,nan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Star Bowers- John Dorsey- Melanie Dusseau- Jim Ferris,nan,USA,English,series,A poetry series sponsored by the Toledo Lucas-County Library.,nan,nan,Documentary
tt6235122,Servant of the People,http://www.imdb.com/title/tt6235122/,7.0,nan,nan,570,nan,2015–,nan,nan,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Boris Abramov- Anastasia Chepeliuk,nan,Ukraine,Russian,series,A political comedy about ordinary school teacher becoming the President of Ukraine. He tries to live an ordinary life without all 'President's privileges' and works really hard to build a ...,nan,nan,Comedy
