imdbID,title,url,imdbRating,imdbVotes,duration,year,specialNominations,noOfAwards,noOfNominations,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,directors,writers,actors,country,language,Type,Plot,Rated,Genre,totalSeasons
tt0292403,All About Us,http://www.imdb.com/title/tt0292403/,6.9,12,1800,2001–,None,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,Lois Bromfield- Chad Hodge- Pamela Pettler,Alecia Elliott- Marieh Delfino- Crystal Celeste Grant- Alicia Lagano,USA,English,series,The teenage "dramady" follows the fast friendship of four high school girls in Chicago with varied personalities and from different backgrounds. Alecia is a transplanted Alabamian whose passion is music and who wants to sing more than anything else. Niki is from a well-to-do family and enjoys the lifestyle of the rich--and boys--very much. Sierra is an idealist fervently committed to the causes she believes in and has a talent for organizing. Finally- Cris- usually called by her last name Castelli- is the athlete of the group and comes from an Italian-American family which runs its own restaurant.,nan,Comedy- Drama,1
tt8199972,100 Days My Prince,http://www.imdb.com/title/tt8199972/,7.2,492,4500,2018–,None,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Kyung-soo Do- Ji-Hyun Nam- Sung-ha Jo- Han-chul Jo,South Korea,Korean,series,Lee Yul falls off a cliff and nearly dies in an attempted assassination. He loses his memory and wanders for 100 days under a new name and personality. During this period- he meets Hong Sim- head of the first detective agency in Joseon.,nan,Comedy- History- Romance,nan
tt0209520,101st Marriage Proposal,http://www.imdb.com/title/tt0209520/,8.5,83,nan,1991–,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Atsuko Asano- Tetsuya Takeda- Yôsuke Eguchi- Ritsuko Tanaka,Japan,Japanese,series,A young man has problems finding his true love. His brother tries to help him out but to no avail. It seemed as though this man would be on the brink of major depression- until he meets a beautiful young lady. This drama follows their relationships and the people who surround them.,nan,Drama- Romance,nan
tt5985540,18 vs. 29,http://www.imdb.com/title/tt5985540/,nan,nan,nan,2005–,None,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Nae-sang Ahn,South Korea,Korean,series,Yoo Hye-chan is unhappily married to Kang Bong-man- a top actor. On her way to file for divorce- Hye-chan is suddenly involved in a car accident. When she wakes up at the hospital- her ...,nan,Comedy- Drama- Romance,1
tt7208216,20th Century Boy and Girl,http://www.imdb.com/title/tt7208216/,6.8,66,nan,2017–,None,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Se-ha Ahn,South Korea,Korean,series,The friendship and love lives of three single virgins born in 1983. The boy they liked in their youth shows up one day when they live in rundown apartments. They discover the meaning of home- family- and friendship.,nan,Comedy- Romance,1
tt12015466,365: Repeat the Year,http://www.imdb.com/title/tt12015466/,8.0,207,1800,2020–,None,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,nan,nan,Joon-hyuk Lee- Ji-Hyun Nam- Ji-Soo Kim,South Korea,Korean,series,A story where ten people get the chance to go back in time by one year- but unexpectedly mysterious situations start to arise when their fates are changed and twisted in the process.,nan,Fantasy- Mystery- Thriller,nan
tt5536856,38 Task Force,http://www.imdb.com/title/tt5536856/,7.9,266,3600,2016–,None,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Nae-sang Ahn- Wok-suk Song- Sun-Bin Lee- Dong-seok Ma,South Korea,Korean,series,The task force chief of Seoul City Hall and a con man work together to collect taxes from those who avoid paying large amounts.,nan,Comedy- Crime- Drama,1
tt1935066,49 Days,http://www.imdb.com/title/tt1935066/,8.0,1096,3600,2011,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Yo-won Lee- Gyu-ri Nam- Hyeon-jae Jo- Il-Woo Jung,South Korea,Korean,series,A woman named "Ji Hyun Shin" whom has everything- loving parents- best friends- and an adoring fiancé- gets into a car accident before her wedding causing her to be in a coma. A reaper known as "Scheduler" gives Ji Hyun a second chance to live. In order for her to do that- she must have 3 people cry pure tears. She uses the body of Song Yi Kyung- a woman who lost everything. After devastating turnovers with friends- family- and fiancé Ji Hyun finds it difficult. But grows strong.,nan,Drama,1
tt4950552,A Daughter Just Like You,http://www.imdb.com/title/tt4950552/,nan,nan,nan,2015–,None,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Daniel Joey Albright- Soo-kyung Lee- Hee-Jin Woo,South Korea,Korean,series,Hong Ae-Ja (Kim Hye-Ok) works as a host at a home shopping channel. She has three accomplished daughters: Ji-Sung (Woo Hee-Jin)- In-Sung (Lee Soo-Kyung) and Hee-Sung (Jung Hye-Seong). Hong Ae-Ja's family interconnects with So Pan-Seok's (Jung Bo-Suk) family and Heo Eun-Sook's (Park Hae-Mi) as in-laws.,nan,Drama,1
tt2362760,A Gentleman's Dignity,http://www.imdb.com/title/tt2362760/,8.0,1137,3900,2012,None,1,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Woo-Bin Kim- Dong-Gun Jang- Ha-neul Kim- Soo-Ro Kim,South Korea,Korean,series,Kim Do Jin (Jang Dong Gun)- an architect with a scathing tongue have romantic relationship with strict high school teacher Seo Yi Soo (Kim Ha Neul)- who moonlights as an umpire at amateur baseball games. Im Tae San (Kim Soo Ro) is dating a cold-hearted woman (Yoon Se Ah) but wonders if there is someone else out there for him. Choi Yoon (Kim Min Jong) tries to heal his heart after losing his wife four years ago. Lee Jung Rok (Lee Jong Hyuk) marries an older woman (Kim Jung Nan) for money but may lose his comfortable lifestyle in a divorce.,nan,Comedy- Drama- Romance,1
