imdbID,title,url,imdbRating,rottenTomatoRating,metacriticRating,imdbVotes,duration,year,oscarNominations,noOfAwards,noOfNominations,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,directors,writers,actors,production,country,language,Type,Plot,BoxOffice,Rated,Genre
tt0086827,Who's the Boss?,http://www.imdb.com/title/tt0086827/,6.5,nan,nan,10770,1800,1984–1992,nan,18,30,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,Martin Cohan- Blake Hunter,Tony Danza- Judith Light- Alyssa Milano- Danny Pintauro,nan,USA,English,series,Former major-leaguer Tony Micelli and his daughter Samantha arrive at the Connecticut household of executive Angela Bower- where Tony has taken a job as live-in housekeeper. The Bowers are an interesting family- to say the least. Angela is uptight and obsessed with her work. Her son Jonathan is shy and lacks self-esteem- and her mother- Mona- is a man-hungry vixen. Tony soon wins them over with his laid-back style- and the Bowers soon begin to loosen up. Over time- romantic tensions begin to surface between Angela and Tony- and we see the children grow up.,nan,TV-G,Comedy- Family- Romance
tt2118293,Mama Drama,http://www.imdb.com/title/tt2118293/,5.7,nan,nan,28,3600,2012–,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,nan,nan,USA,English,series,nan,nan,nan,Reality-TV
tt5725778,Anchor Baby,http://www.imdb.com/title/tt5725778/,nan,nan,nan,nan,nan,2016–,nan,nan,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Brett Butler- Shamus Murphy,nan,USA,nan,series,"Anchor Baby" the episodic television series is about Tommy Chu's continued insatiable quest for normalcy in the chaotic world of the Asian-American assimilation experience- while fighting for his independence in his quirky and volatile family's Chinese restaurant. In the "Anchor Baby" TV series- all of the original character dynamics developed in the "Anchor Baby" feature film come full circle- as Tommy and wife- Betty- now face all new high stakes as they have their own family to raise. Tommy is now running the family restaurant- which he is shocked to find out is about to be seized by the I.R.S. He reluctantly continues to partner with his secretive and diabolical parents in running the restaurant- having to come up with weekly harebrained schemes throughout the series to hold the family restaurant and his livelihood together- while living his mantra- 'Pain is inevitable- suffering is optional.' Anchor Baby the feature and TV series are drawn directly from Shamus' own 1st generation Asian-American heritage involving family experiences and biographical adaptations for film and TV- which mirrors his own as well as others' experiences- and whose demographic represents the fastest growing demographic in the U.S.: the 1st generation of "Hapa" or mixed Asian-American emerging population. Anchor Baby's plot was also supplemented in development from experiences derived from Shamus' spending 2 years tutoring at risk gang affiliated teens in South Central Los Angeles- (A Place Called Home)- many of whose families faced serious immigration/assimilation issues.,nan,nan,Comedy
tt8215292,Men in Love with Food,http://www.imdb.com/title/tt8215292/,nan,nan,nan,nan,nan,2018–,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,Shailyn Herrera,nan,USA,English,series,nan,nan,nan,Reality-TV
tt1989997,Relentless Boardmasters,http://www.imdb.com/title/tt1989997/,nan,nan,nan,nan,nan,2010,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Ben Drew- Newton Faulkner- Seasick Steve,nan,nan,nan,series,nan,nan,nan,Music
tt2549176,Cardfight!! Vanguard,http://www.imdb.com/title/tt2549176/,7.3,nan,nan,89,1500,2011–,nan,nan,nan,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,nan,nan,Melissa Dorsey- Tim Hamaguchi- James Beach- Ryan Luhning,nan,Japan,Japanese- English,series,There are now billions of card game players in the world- to an extent where card games have become a necessity- a part of our lives. The protagonist of this story- Aichi Sendo- is a timid boy in his third year of middle school. He had been living his life looking backward rather than forward- trying not to stand out. However- he had one thing that kept him going - the Blaster Blade- a card from a card game that was given to him when he was little. That card is the reason why he begins to engage in Cardfights- something that changes his life drastically. The name of the card game is Vanguard. The game takes place in a different planet called Cray. It is a place similar to our own planet- but unlike planet Earth- Gods and Demons- Dragons and other mythical creatures still roam the land. It is also a world where both Magic and Science have advanced hand in hand. Countries with advances in different fields and cultures rule over different parts of the planet Cray. And due to a never before seen play system- it becomes popular throughout the world. Aichi- immediately attracted by Vanguard- meets friends such as Misaki Togura and Kamui Katsuragi- along with other rivals. Through friendly rivalry with them- Aichi begins to enjoy a fulfilling life. Aichi- however- has a goal: to once again battle with a Vanguard Fighter by the name of Toshiki Kai. Toshiki Kai is an aloof and cold-hearted high schooler who has outstanding abilities in the world of Vanguard. He is also the reason why Aichi started playing the game. For him- Kai is the person who saved him from his boring life and introduced him to Vanguard. In order to get better at Vanguard- Aichi puts his soul into it every day. He wishes that someday- he'll be able to battle Kai and have him recognize his worth.,nan,nan,Animation- Action- Fantasy- Game-Show- Sci-Fi
tt7653366,Pérusse Cité,http://www.imdb.com/title/tt7653366/,7.5,nan,nan,6,nan,2012–2013,nan,nan,nan,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,François Pérusse,nan,Canada,French,series,-"Pérusse Cité" is a 23-episode- 21-minute Quebec animated television series created by François Pérusse and aired between March 19- 2012 and August 4- 2013 on Télévision de Radio-Canada. ...,nan,nan,Animation- Comedy
tt10132506,Alice in Chains: Black Antenna,http://www.imdb.com/title/tt10132506/,9.7,nan,nan,6,nan,2019,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,nan,nan,Alice in Chains- Jerry Cantrell- William DuVall- Paul Sloan,nan,USA,English,series,This web-series is a companion piece to Alice in Chains' 2018 album "Rainier Fog". Alpha and his daughter Beta are aliens disguised as humans who drive their beat-up truck across California...,nan,nan,Music- Sci-Fi- Thriller
tt9522300,Kaguya-sama: Love is War,http://www.imdb.com/title/tt9522300/,8.2,nan,nan,2812,1440,2019–,nan,nan,nan,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Aoi Koga- Makoto Furukawa- Konomi Kohara- Yutaka Aoyama,nan,Japan,Japanese,series,Shuchiin Academy is home to students from Japan's most successful and wealthy families- as well the nation's most brilliant young scholars. Among them- the Student Council President- Miyuki...,nan,TV-PG,Animation- Comedy- Romance
tt1305560,Osbournes Reloaded,http://www.imdb.com/title/tt1305560/,2.7,nan,nan,200,nan,2009–,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,nan,nan,Jack Osbourne- Kelly Osbourne- Ozzy Osbourne- Sharon Osbourne,nan,USA,English,series,In this exciting first season- OSBOURNES: RELOADED will shock and amuse audiences with the First Family of Heavy Metal's riotous sensibilities and brash humor. The series is filmed in front...,nan,nan,Reality-TV
