imdbID,title,url,imdbRating,rottenTomatoRating,metacriticRating,imdbVotes,duration,year,oscarNominations,noOfAwards,noOfNominations,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,directors,writers,actors,production,country,language,Type,Plot,BoxOffice,Rated,Genre
tt0216454,Black Silk,http://www.imdb.com/title/tt0216454/,nan,nan,nan,nan,3000,1985–,nan,nan,nan,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,Mustapha Matura- Rudy Narayan,Rudolph Walker- Kika Markham- Mona Hammond- Suzette Llewellyn,nan,UK,nan,series,nan,nan,nan,Drama
tt3836378,Gunman in Joseon,http://www.imdb.com/title/tt3836378/,7.4,nan,nan,143,nan,2014–,nan,4,nan,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,nan,nan,Ji Hyun Ahn- Seok-Hwan An- Cheol-ho Choi- Jong-won Choi,nan,South Korea,Korean,series,Based in the time of enlightenment of 19th-century Joseon- This drama tells the story of Joseon's last swordsman named Park Yoon Kang who grabs a gun ditching his sword and grows to become the era's hero. Park Yoon Kang is the illegitimate son of the best swordsman in Joseon. After his father and sister get killed- he trades sword for gun as he embarks on his revenge mission.,nan,nan,Action- History- Romance
tt5575900,Fah Jarod Sai,http://www.imdb.com/title/tt5575900/,nan,nan,nan,nan,7200,2013–2014,nan,nan,nan,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Theerapat Sajakul- Nok Usanee- Usamanee Waitayanon,nan,Thailand,Thai,series,Due to Kashfiya's wrath- she planed to send Michelle- her best friend- King Amedha's concubine. One day- Oman- King Amedha's younger relative- rebelled and killed King Amedha in the presence of Sharif- King Amedha's closest bodyguard. Sharif took Michelle to escape to the desert together.,nan,nan,Drama- Fantasy
tt8333098,Double O Negative,http://www.imdb.com/title/tt8333098/,nan,nan,nan,nan,nan,2018–,nan,nan,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Andrew Lorenzo,nan,Australia,nan,series,The adventures of world renowned spy- James Bond and his more down-to-earth partner- Adam.,nan,nan,Comedy
tt3815402,Nothing to Lose,http://www.imdb.com/title/tt3815402/,nan,nan,nan,nan,nan,2016–,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,USA,English,series,nan,nan,nan,Action- Horror
tt8619594,Three Busy Debras,http://www.imdb.com/title/tt8619594/,5.2,nan,nan,220,nan,2020–,nan,nan,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,Sandy Honig- Mitra Jouhari- Alyssa Stonoha,Mitra Jouhari- Alyssa Stonoha- Catherine Cohen- Sandy Honig,nan,USA,nan,series,Three housewives live in a wealthy Connecticut suburb that exists outside reality for the rest of the world.,nan,TV-14,Comedy
tt6528174,Fake News,http://www.imdb.com/title/tt6528174/,7.6,nan,nan,13,600,2020–,nan,nan,nan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Sadie Kaye- Jonathan Douglas- Philippe Joly- Dan Davies,nan,Hong Kong,English,series,Miss Adventure embarks on an unlikely adventure in the USA with former UKIP leader and 'Mr. Brexit'- Nigel Farage.,nan,nan,Comedy
tt1974934,The Royal Bodyguard,http://www.imdb.com/title/tt1974934/,4.4,nan,nan,485,nan,2011–,nan,nan,nan,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,David Jason- Geoffrey Whitehead- Tim Bentinck- Tim Downie,nan,UK,English,series,A former soldier is brought out of retirement and put in charge of Royal security but he turns out to be the worst possible appointment as he is totally out of his depth.,nan,nan,Action- Comedy
tt1515985,Queen's Blade 2: The Evil Eye,http://www.imdb.com/title/tt1515985/,6.9,nan,nan,204,1440,2009–,nan,nan,nan,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,Atsuko Tanaka- Kenzie Brooke- Jessica Calvello- Darla Chaney,nan,Japan,Japanese,series,The sequel that follows season 1 countless powerful women from around the continent join a tournament called the Queen's Blade tournament to challenge one another and eventually try her skills at defeating the current queen,nan,TV-MA,Animation- Action- Adventure
tt8741648,The Letter for the King,http://www.imdb.com/title/tt8741648/,5.9,nan,nan,5297,nan,2020–,nan,nan,nan,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,William Davies,Amir Wilson- Ruby Ashbourne Serkis- Thaddea Graham- Islam Bouakkaz,nan,UK,English,series,Tiuri- a teenage squire- answers a call for help that sends him on a perilous mission across the three kingdoms to deliver a secret letter to the King.,nan,TV-PG,Action- Adventure- Family- Fantasy
